City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Acajutla,SV,85.89,broken clouds,13.5928,-89.8275,Laureles
348,Weligama,LK,80.78,overcast clouds,5.9667,80.4167,Weligama Bay Resort
350,Jalu,LY,73.45,clear sky,29.0331,21.5482,صاحبة الفخامة
351,Bellavista,PE,85.71,broken clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
352,Tual,ID,84.11,moderate rain,-5.6667,132.75,Grand Vilia Hotel
357,Nuevo Progreso,MX,94.53,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
360,Prado,BR,72.86,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
361,Magole,TZ,69.13,overcast clouds,-6.3667,37.3667,Juma lubelwa
362,Pangkalanbuun,ID,74.14,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
364,Popondetta,PG,76.57,overcast clouds,-8.7537,148.2534,Timos Transit House
365,Bontang,ID,77.02,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
366,Ranong,TH,78.98,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
368,Bud,US,71.82,broken clouds,39.447,-86.1758,Ted McQuinn Trust
374,Aracati,BR,79.41,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
379,Nautla,MX,90.3,few clouds,20.2167,-96.7833,Casa Blanca
380,Challans,FR,68.2,overcast clouds,46.8436,-1.8749,Citotel Le Challans
387,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
388,Luyang,CN,66.87,overcast clouds,27.6239,110.0989,Zhijia Fashion Hotel
389,San Matias,BO,81.77,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
390,Kawalu,ID,73.24,overcast clouds,-7.3817,108.2082,West Jontor
391,Luorong,CN,71.44,overcast clouds,24.4058,109.6086,荣立大酒店
392,Nisia Floresta,BR,81.41,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
393,Puerto Escondido,MX,88.68,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
396,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
398,Soyo,AO,78.21,few clouds,-6.1349,12.3689,Hotel Mpampa
402,Concepcion De Ataco,SV,82.98,broken clouds,13.8703,-89.8486,Hotel Misión de Angeles
404,Abu Kamal,SY,70.07,clear sky,34.4506,40.9171,البوكمال
408,Omboue,GA,78.06,scattered clouds,-1.5746,9.2618,Hotel Olako
410,Ugoofaaru,MV,84.0,overcast clouds,5.6667,73.0,Ungoofaaru Inn
412,Eyl,SO,83.3,scattered clouds,7.9803,49.8164,Amiin Hotel
417,Khandbari,NP,68.95,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
418,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
419,Miranda,CO,86.13,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
422,Kismayo,SO,80.04,light rain,-0.3582,42.5454,Agan-Hotel
423,El Vendrell,ES,65.75,broken clouds,41.2167,1.5333,Le Méridien Ra Beach Hotel & Spa
425,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
426,Mocuba,MZ,65.93,clear sky,-16.8392,36.9856,Phama Lodge
431,Samarai,PG,82.62,broken clouds,-10.6167,150.6667,Nuli Sapi
432,Celestun,MX,88.27,clear sky,20.8667,-90.4,Posada Lilia
433,Sur,OM,88.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
436,Sungairaya,ID,78.19,moderate rain,0.7,108.9,Rumah Kuku Moimoi Shelly
437,Camiri,BO,76.78,overcast clouds,-20.05,-63.5167,J R Hotel
439,Marawi,PH,69.73,overcast clouds,7.9986,124.2928,Derogongan Residence
440,Canon City,US,82.38,clear sky,38.441,-105.2424,Travel Inn Motel
441,Belmonte,BR,75.42,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
445,Mananara,MG,73.2,light rain,-16.1667,49.7667,Chez Roger
449,Jacareacanga,BR,82.78,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
454,Gillette,US,66.11,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
459,Urucui,BR,82.22,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
462,Antalaha,MG,73.54,few clouds,-14.9003,50.2788,Hotel Vitasoa
463,Cuamba,MZ,67.03,scattered clouds,-14.8031,36.5372,Hotel Vision
464,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
465,Asfi,MA,68.32,few clouds,32.2994,-9.2372,Hôtel Abda
467,Ormara,PK,81.19,clear sky,25.2088,64.6357,Kenara Colony house for Rent
468,Guia Lopes Da Laguna,BR,75.09,clear sky,-21.4578,-56.1142,Donna Lu
476,Noumea,NC,75.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
477,Buala,SB,81.97,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
479,Impfondo,CG,75.76,broken clouds,1.6381,18.0667,Auberge La Place de Jules
482,Jaisalmer,IN,86.56,clear sky,26.9147,70.9181,Hotel Fifu
485,Manoel Urbano,BR,82.17,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
486,Palembang,ID,80.69,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
489,Alexandria,EG,69.76,clear sky,31.2156,29.9553,Royal Crown Hotel
490,Dakar,SN,72.48,scattered clouds,14.6937,-17.4441,Novotel Dakar
491,Anakapalle,IN,84.15,broken clouds,17.6833,83.0167,Satya Lodge
492,Pensacola,US,91.42,clear sky,30.4213,-87.2169,Days Inn by Wyndham Pensacola - Historic Downtown
493,Griffith,US,68.09,clear sky,41.5284,-87.4237,Apartment above Depot Bar
495,Bilma,NE,94.35,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
496,Hun,LY,69.55,clear sky,29.1268,15.9477,Alrwasi Hotel
497,Port Hedland,AU,69.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
498,San Clemente,US,72.05,broken clouds,33.427,-117.612,Casablanca Inn
499,Axim,GH,80.96,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
506,Kununurra,AU,73.38,clear sky,-15.7667,128.7333,Hotel Kununurra
507,Corrente,BR,75.29,moderate rain,-3.7367,-43.3394,Chapadinhense Hotel
508,Santa Luzia,BR,78.94,few clouds,-19.7697,-43.8514,Pousada Chao Earth
509,Nyimba,ZM,70.7,broken clouds,-14.5566,30.8149,Dali Dali Lodge
514,Muros,ES,69.67,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
518,Mbanza-Ngungu,CD,69.69,light rain,-5.25,14.8667,Hotel Full Business
520,Kieta,PG,80.49,light rain,-6.2167,155.6333,Uruna Bay Retreat
522,Banjar,ID,77.67,overcast clouds,-8.19,114.9675,The Hamsa Resort
524,Laguna,US,66.06,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
525,Faya,SA,66.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
526,Hami,CN,66.65,clear sky,42.8,93.45,Laoyutang Resort
529,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
531,Muisne,EC,78.96,overcast clouds,0.6,-80.0333,Quinta Samay
532,Bull Savanna,JM,81.82,scattered clouds,17.8868,-77.5902,Big Red's
533,Ternate,ID,81.66,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
537,Alegrete,BR,65.77,broken clouds,-29.7831,-55.7919,Hotel Alegrete
539,Hambantota,LK,82.15,overcast clouds,6.1241,81.1185,Bungalow 63
540,Cassilandia,BR,74.48,clear sky,-19.1133,-51.7342,Delirius Motel
544,Sivaganga,IN,86.41,overcast clouds,9.8667,78.4833,Idhaya Towers
545,Sao Gabriel Da Cachoeira,BR,78.91,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
546,Lubao,PH,80.67,broken clouds,14.9167,120.55,Hacienda Gracia
550,Mulege,MX,89.01,clear sky,26.8833,-111.9833,Casa Granada
555,Alta Floresta,BR,91.22,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
556,Jacqueville,CI,81.73,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
557,Kalianget,ID,81.19,moderate rain,-7.05,113.9333,Pesanggrahan Garam
558,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
560,Le Port,RE,73.36,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
561,Caravelas,BR,72.82,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
564,Maxixe,MZ,70.45,light rain,-23.8597,35.3472,Oceano
572,Pipraich,IN,84.94,clear sky,26.8264,83.53,Rajpoot niwas
573,Ponta Delgada,PT,67.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
574,Ursulo Galvan,MX,83.34,clear sky,22.7333,-98.3,HOTEL LAS FUENTES DEL BERNAL
579,Iquique,CL,66.24,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
581,Ouesso,CG,74.73,overcast clouds,1.6136,16.0517,ABENIE Hotel
583,Inongo,CD,71.71,light rain,-1.95,18.2667,Hotel Du Lac
585,Carutapera,BR,74.98,overcast clouds,-1.195,-46.02,Lidera
588,Pemangkat,ID,78.31,overcast clouds,1.1667,108.9667,Ramah Kost KITA
590,Beitbridge,ZW,73.13,few clouds,-22.2167,30.0,Beitbridge Express Hotel
592,Nizwa,OM,84.85,clear sky,22.9333,57.5333,Orient Apartments
593,Sturgeon Falls,CA,69.13,scattered clouds,46.3646,-79.9326,Lincoln Motel
597,Sungaipenuh,ID,65.52,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
599,Barkhan,PK,79.23,few clouds,29.8977,69.5256,Sardar
601,Grao Mogol,BR,72.75,overcast clouds,-16.5594,-42.8897,Pousada do Eti
602,Itoman,JP,75.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
605,Sedalia,US,76.42,overcast clouds,38.7045,-93.2283,Best Western State Fair Inn
606,Morant Bay,JM,85.62,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
608,Saint-Joseph,RE,70.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
609,Manicore,BR,82.54,scattered clouds,-5.8092,-61.3003,Hotel Durval
613,Englewood,US,76.73,broken clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
615,Matara,LK,80.64,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
616,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
617,Moose Factory,CA,71.6,clear sky,51.2585,-80.6094,Moosonee Lilypad
618,Diffa,NE,93.81,broken clouds,13.3154,12.6113,ProDAF/Diffa
620,Rio Tercero,AR,73.8,overcast clouds,-32.173,-64.1141,Hospedaje Las Violetas
622,Boundiali,CI,74.62,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
623,Antofagasta,CL,65.48,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
625,Yarada,IN,84.52,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
626,Malanje,AO,69.17,scattered clouds,-9.5402,16.341,Hotel Ginga
627,Pitiquito,MX,92.34,clear sky,30.7,-112.0833,La Víspera
632,Huacho,PE,69.22,broken clouds,-11.1067,-77.605,Hotel Restaurant Turístico Casablanca
635,Sechura,PE,76.41,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
637,Gushikawa,JP,75.2,broken clouds,26.3544,127.8686,Kirari Guest House
638,Ambilobe,MG,72.66,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
645,Benguela,AO,75.02,clear sky,-12.5763,13.4055,Hotel Praia Morena
647,Aksu,CN,71.91,clear sky,41.1231,80.2644,Pudong Holiday Hotel
648,Daru,PG,80.91,broken clouds,-9.0763,143.2092,Daru Lodge
650,Cassia,BR,71.42,overcast clouds,-20.5831,-46.9219,Hotel e Restaurante Âncora
651,Vila Do Maio,CV,74.19,scattered clouds,15.1333,-23.2167,Hotel Marilu
652,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
653,La Romana,DO,84.56,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
654,Trincomalee,LK,83.66,light rain,8.5711,81.2335,Welcombe Hotel
655,Gilgit,PK,71.28,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
656,Fasa,IR,67.24,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
657,Pishva,IR,65.1,clear sky,35.308,51.7267,شهرک خورشید هشتم
658,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
660,Trairi,BR,77.7,overcast clouds,-3.2778,-39.2689,janelas do mar
661,Najran,SA,83.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
663,Tucuman,AR,69.8,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
664,Ampanihy,MG,71.26,scattered clouds,-24.7,44.75,Angora Hotel
668,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
671,Kavieng,PG,84.38,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
672,Upleta,IN,82.49,clear sky,21.7333,70.2833,Salman odiya homes
675,Marsa Matruh,EG,68.2,clear sky,31.3525,27.2453,Beau Site
676,Pringsewu,ID,75.33,overcast clouds,-5.3582,104.9744,Urban Style by Front One
678,Lorengau,PG,83.71,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
680,Calabozo,VE,89.19,overcast clouds,8.9242,-67.4293,Hotel Giardini
681,Malanville,BJ,91.11,light rain,11.8685,3.3899,Hotel Sejour du Sahel
682,Calabar,NG,77.22,overcast clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
686,Sakakah,SA,71.17,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
